Company,valuation,date_Joined,industry,city,country,continent,year_founded,funding,select_investors,unicorn-year,years_to_unicorn,valuation_b,fundings_b,fundings_category,valuation_efficiency
Guideline,$1B,16-06-2021,Fintech,San Mateo,United States,North America,2015,$339M,"Pelion Venture Partners, Foundation Capital, Thoma Bravo",2021,6,1,0.339,Low Funding,2.949852507
Happy Money,$1B,08-02-2022,Fintech,Tustin,United States,North America,2009,$192M,"FirstMark Capital, Anthemis, CMFG Ventures",2022,13,1,0.192,Low Funding,5.208333333
Rebellion Defense,$1B,16-09-2021,Artificial intelligence,Washington DC,United States,North America,2019,$150M,"Venrock, Innovation Endeavors, Insights Partners",2021,2,1,0.15,Low Funding,6.666666667
STORD,$1B,13-09-2021,"Supply chain, logistics, & delivery",Atlanta,United States,North America,2015,$205M,"Dynamo VC, Susa Ventures, Founders Fund",2021,6,1,0.205,Low Funding,4.87804878
At-Bay,$1B,27-07-2021,Fintech,Mountain View,United States,North America,2016,$292M,"Lightspeed Venture Partners, Khosla Ventures, Munich Re Ventures",2021,5,1,0.292,Low Funding,3.424657534
TELD,$1B,16-12-2019,Fintech,Qingdao,China,Asia,2014,$396M,"China Reform Fund, Gaopeng Capital, Jinhui Xingye",2019,5,1,0.396,Low Funding,2.525252525
Acko General Insurance,$1B,28-10-2021,Fintech,Bengaluru,India,Asia,2016,$458M,"Intact Ventures, Munich Re Ventures, General Atlantic",2021,5,1,0.458,Low Funding,2.183406114
apna,$1B,15-09-2021,Internet software & services,Bengaluru,India,Asia,2019,$193M,"Sequoia Capital India, Rocketship.vc, Lightspeed India Partners",2021,2,1,0.193,Low Funding,5.18134715
Beyond Identity,$1B,22-02-2022,Cybersecurity,New York,United States,North America,2019,$205M,"New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners",2022,3,1,0.205,Low Funding,4.87804878
Carousell,$1B,15-09-2021,E-commerce & direct-to-consumer,,Singapore,Asia,2012,$288M,"500 Global, Rakuten Ventures, Golden Gate Ventures",2021,9,1,0.288,Low Funding,3.472222222
Chief,$1B,31-03-2022,Other,New York,United States,North America,2019,$140M,"General Catalyst, Inspired Capital, Flybridge Capital Partners",2022,3,1,0.14,Low Funding,7.142857143
CoinDCX,$1B,10-08-2021,Fintech,Maharashtra,India,Asia,2017,$109M,"Polychain Capital, Coinbase Ventures, Jump Capital",2021,4,1,0.109,Low Funding,9.174311927
Daily Harvest,$1B,16-11-2021,E-commerce & direct-to-consumer,New York,United States,North America,2014,$120M,"M13, Lightspeed Venture Partners, Lone Pine Capital",2021,7,1,0.12,Low Funding,8.333333333
Enpal,$1B,18-10-2021,Internet software & services,Berlin,Germany,Europe,2017,$304M,"HV Capital, Softbank Group, BlackRock",2021,4,1,0.304,Low Funding,3.289473684
eSentire,$1B,22-02-2022,Cybersecurity,Waterloo,Canada,North America,2001,$186M,"Edison Partners, Georgian Partners, VentureLink",2022,21,1,0.186,Low Funding,5.376344086
Firefly Aerospace,$1B,04-05-2021,Other,Cedar Park,United States,North America,2014,$172M,"XBTO Ventures, Raven One Ventures, SK Ventures",2021,7,1,0.172,Low Funding,5.813953488
Fundbox,$1B,30-11-2021,Fintech,San Francisco,United States,North America,2013,$404M,"Khosla Ventures, General Catalyst, Blumberg Capital",2021,8,1,0.404,Low Funding,2.475247525
G2,$1B,22-06-2021,Internet software & services,Chicago,United States,North America,2012,$258M,"Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners",2021,9,1,0.258,Low Funding,3.875968992
Gaussian Robotics,$1B,10-11-2021,Hardware,Shanghai,China,Asia,2013,$325M,"BlueRun Ventures, Grand Flight Investment, Meituan Dianping",2021,8,1,0.325,Low Funding,3.076923077
GetYourGuide,$1B,16-05-2019,Travel,Berlin,Germany,Europe,2009,$656M,"Spark Capital, Highland Europe, Sunstone Capital",2019,10,1,0.656,Medium Funding,1.524390244
GlobalBees,$1B,28-12-2021,E-commerce & direct-to-consumer,New Delhi,India,Asia,2021,$185M,"Chiratae Ventures, SoftBank Group, Trifecta Capital",2021,0,1,0.185,Low Funding,5.405405405
Ivalua,$1B,21-05-2019,Fintech,Redwood City,United States,North America,2000,$134M,"Ardian, Tiger Global Management, KKR",2019,19,1,0.134,Low Funding,7.462686567
Juanpi,$1B,14-04-2016,E-commerce & direct-to-consumer,Wuhan,China,Asia,2012,$136M,"Tiantu Capital, SAIF Partners China, Newsion Venture Capital",2016,4,1,0.136,Low Funding,7.352941176
Karat,$1B,13-10-2021,Internet software & services,Seattle,United States,North America,2014,$169M,"8VC, Norwest Venture Partners, Tiger Global Management",2021,7,1,0.169,Low Funding,5.917159763
LEAD School,$1B,13-01-2022,Edtech,Andheri,India,Asia,2012,$166M,"WestBridge Capital, GSV Ventures, Elevar Equity",2022,10,1,0.166,Low Funding,6.024096386
Nexthink,$1B,08-02-2021,Data management & analytics,Prilly,Switzerland,Europe,2004,$346M,"Auriga, Galeo Ventures, Highland Europe",2021,17,1,0.346,Low Funding,2.89017341
People.ai,$1B,11-08-2021,Internet software & services,San Francisco,United States,North America,2017,$200M,"GGV Capital, Lightspeed Venture Partners, ICONIQ Capital",2021,4,1,0.2,Low Funding,5
Pharmapacks,$1B,12-11-2020,E-commerce & direct-to-consumer,Islandia,United States,North America,2010,$433M,The Carlyle Group,2020,10,1,0.433,Low Funding,2.309468822
Rightway,$1B,30-03-2021,Health,New York,United States,North America,2017,$130M,"Thrive Capital, Khosla Ventures, Tiger Global Management",2021,4,1,0.13,Low Funding,7.692307692
Sennder,$1B,14-01-2021,"Supply chain, logistics, & delivery",Berlin,Germany,Europe,2015,$340M,"Accelm Scania Growth Capital, Lakestar",2021,6,1,0.34,Low Funding,2.941176471
Sisense,$1B,09-01-2020,Data management & analytics,New York,United States,North America,2004,$274M,"Opus Capital, Genesis Partners, Battery Ventures",2020,16,1,0.274,Low Funding,3.649635036
Staffbase,$1B,15-03-2022,Internet software & services,Chemnitz,Germany,Europe,2014,$307M,"Insight Partners, e.ventures, General Atlantic",2022,8,1,0.307,Low Funding,3.25732899
Sunbit,$1B,20-05-2021,Fintech,Los Angeles,United States,North America,2016,$210M,"Zeev Ventures, Group11, Chicago Ventures",2021,5,1,0.21,Low Funding,4.761904762
TangoMe,$1B,20-03-2014,Mobile & telecommunications,Mountain View,United States,North America,2009,$361M,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group",2014,5,1,0.361,Low Funding,2.770083102
The Bank of London,$1B,30-11-2021,Fintech,London,United Kingdom,Europe,2018,$90M,"Mangrove Capital Partners,14W, ForgeLight",2021,3,1,0.09,Low Funding,11.11111111
Zego,$1B,09-03-2021,Fintech,London,United Kingdom,Europe,2016,$202M,"LocalGlobe, Balderton Capital, Target Global",2021,5,1,0.202,Low Funding,4.95049505
Nxin,$1B,18-09-2018,Internet software & services,Beijing,China,Asia,2015,$53M,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund",2018,3,1,0.053,Low Funding,18.86792453
Mamaearth,$1B,28-12-2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2016,$111M,"Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners",2021,5,1,0.111,Low Funding,9.009009009
Radius Payment Solutions,$1B,27-11-2017,Fintech,Crewe,United Kingdom,Europe,1990,$200M,Inflexion Private Equity,2017,27,1,0.2,Low Funding,5
Rivigo,$1B,11-07-2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2014,$247M,"SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors",2019,5,1,0.247,Low Funding,4.048582996
Rubicon,$1B,25-08-2017,Other,Atlanta,United States,North America,2008,$223M,"Goldman Sachs, Leonardo DiCaprio, Promecap",2017,9,1,0.223,Low Funding,4.484304933
Socar,$1B,16-10-2020,Auto & transportation,Jeju-do,South Korea,Asia,2012,$408M,"Bain Capital, Altos Ventures, Songhyun Investment",2020,8,1,0.408,Low Funding,2.450980392
MobileCoin,$1B,07-07-2021,Fintech,San Francisco,United States,North America,2018,$107M,"General Catalyst, Future Ventures, AU21",2021,3,1,0.107,Low Funding,9.345794393
Density,$1B,10-11-2021,Hardware,San Francisco,United States,North America,2014,$217M,"Founders Fund, Upfront Ventures, 01 Advisors",2021,7,1,0.217,Low Funding,4.608294931
Instabase,$1B,21-10-2019,Data management & analytics,San Francisco,United States,North America,2015,$132M,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz",2019,4,1,0.132,Low Funding,7.575757576
Jiuxian,$1B,30-07-2015,E-commerce & direct-to-consumer,Beijing,China,Asia,2009,$250M,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth",2015,6,1,0.25,Low Funding,4
Matrixport,$1B,01-06-2021,Fintech,,Singapore,Asia,2019,$100M,"Dragonfly Captial, Qiming Venture Partners, DST Global",2021,2,1,0.1,Low Funding,10
Mixpanel,$1B,15-11-2021,Internet software & services,San Francisco,United States,North America,2009,$277M,"Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital",2021,12,1,0.277,Low Funding,3.610108303
Sendbird,$1B,06-04-2021,Mobile & telecommunications,San Mateo,United States,North America,2013,$221M,"FundersClub, Y Combinator, Tiger Global Management",2021,8,1,0.221,Low Funding,4.524886878
OrCam Technologies,$1B,20-02-2018,Artificial intelligence,Jerusalem,Israel,Asia,2010,$86M,"Intel Capital, Aviv Venture Capital",2018,8,1,0.086,Low Funding,11.62790698
Leap Motor,$1B,20-11-2018,Auto & transportation,Hangzhou,China,Asia,2015,$1B,"Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group",2018,3,1,1,Medium Funding,1
1KMXC,$1B,30-08-2021,Hardware,Hangzhou,China,Asia,2014,$86M,"Goldman Sachs Asset Management, SDP Investment, Alibaba Group",2021,7,1,0.086,Low Funding,11.62790698
58 Daojia,$1B,12-10-2015,Internet software & services,Beijing,China,Asia,2014,$300M,"KKR, Alibaba Group, Ping An Insurance",2015,1,1,0.3,Low Funding,3.333333333
Agile Robots,$1B,09-09-2021,Hardware,Munich,Germany,Europe,2018,$240M,"Hillhouse Capital Management, Sequoia Capital China, Linear Venture",2021,3,1,0.24,Low Funding,4.166666667
Aibee,$1B,13-04-2021,Artificial intelligence,Beijing,China,Asia,2017,$273M,"Sequoia Capital China, Lenovo Capital and Incubator, Group GSR Ventures",2021,4,1,0.273,Low Funding,3.663003663
Aircall,$1B,23-06-2021,Internet software & services,New York,United States,North America,2014,$226M,"Balderton Capital, Next World Capital, Draper Esprit",2021,7,1,0.226,Low Funding,4.424778761
Ajaib,$1B,04-10-2021,Fintech,Jakarta,Indonesia,Asia,2018,$245M,"Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners",2021,3,1,0.245,Low Funding,4.081632653
Alto Pharmacy,$1B,30-01-2020,Health,San Francisco,United States,North America,2015,$524M,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group",2020,5,1,0.524,Medium Funding,1.908396947
Amagi,$1B,16-03-2022,Internet software & services,Bengaluru,India,Asia,2008,$240M,"Mayfield, Accel, Norwest Venture Partners",2022,14,1,0.24,Low Funding,4.166666667
Amount,$1B,17-05-2021,Fintech,Chicago,United States,North America,2019,$243M,"Invus Group, Hanaco Venture Capital, WestCap Group",2021,2,1,0.243,Low Funding,4.115226337
Amperity,$1B,13-07-2021,Artificial intelligence,Seattle,United States,North America,2016,$187M,"Madrona Venture Group, Tiger Global Management, Madera Technology Partners",2021,5,1,0.187,Low Funding,5.347593583
Anyscale,$1B,07-12-2021,Artificial Intelligence,Berkeley,United States,North America,2019,$160M,"Andreessen Horowitz, Intel Capital, Foundation Capital",2021,2,1,0.16,Low Funding,6.25
Aptos,$1B,15-03-2022,Internet software & services,Palo Alto,United States,North America,2021,$200M,"Andreessen Horowitz, Coinbase Ventures, Tiger Global Management",2022,1,1,0.2,Low Funding,5
Aqua Security,$1B,10-03-2021,Cybersecurity,Ramat Gan,Israel,Asia,2015,$265M,"TLV Partners, Lightspeed Venture Partners, M12",2021,6,1,0.265,Low Funding,3.773584906
Assembly,$1B,21-09-2021,Internet software & services,Culver City,United States,North America,2019,Unknown,"Advent International, PSG, Providence Equity Partners",2021,2,1,,Unknown,0
Assent,$1B,06-01-2022,"Supply chain, logistics, & delivery",Ottawa,Canada,North America,2010,$534M,"Vista Equity Partners, Warburg Pincus, First Ascent Ventures",2022,12,1,0.534,Medium Funding,1.872659176
Augury,$1B,26-10-2021,Artificial intelligence,New York,United States,North America,2011,$294M,"Lerer Hippeau, Munich Re Ventures, Eclipse Ventures",2021,10,1,0.294,Low Funding,3.401360544
Axelar,$1B,15-02-2022,Internet software & services,Waterloo,Canada,North America,2020,$64M,"Lemniscap VC, North Island Ventures, Polychain Capital",2022,2,1,0.064,Low Funding,15.625
Axiom Space,$1B,16-02-2021,Other,Houston,United States,North America,2016,$150M,"C5 Capital, Hemisphere Ventures, The Venture Collective",2021,5,1,0.15,Low Funding,6.666666667
Banma Network Technologies,$1B,13-09-2018,Auto & transportation,Shanghai,China,Asia,2015,$697M,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital",2018,3,1,0.697,Medium Funding,1.43472023
BeiBei,$1B,22-01-2015,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2011,$224M,"Banyan Capital, New Horizon Capital, IDG Capital Partners",2015,4,1,0.224,Low Funding,4.464285714
BenevolentAI,$1B,02-06-2015,Artificial intelligence,London,United Kingdom,Europe,2013,$292M,Woodford Investment Management,2015,2,1,0.292,Low Funding,3.424657534
Berlin Brands Group,$1B,01-09-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2005,$800M,"Ardian, Bain Capital",2021,16,1,0.8,Medium Funding,1.25
Betterfly,$1B,01-02-2022,Artificial intelligence,Santiago,Chile,South America,2018,$205M,"QED Investors, DST Global, Endeavor",2022,4,1,0.205,Low Funding,4.87804878
BitFury,$1B,06-11-2018,Hardware,Amsterdam,Netherlands,Europe,2011,$170M,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital",2018,7,1,0.17,Low Funding,5.882352941
BlackBuck,$1B,22-07-2021,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2015,$352M,"Accel, Sands Capital, International Finance Corporation",2021,6,1,0.352,Low Funding,2.840909091
Bluecore,$1B,05-08-2021,Artificial intelligence,New York,United States,North America,2013,$238M,"FirstMark Capital, Georgian Partners, Norwest Venture Partners",2021,8,1,0.238,Low Funding,4.201680672
BlueVoyant,$1B,23-02-2022,Cybersecurity,New York,United States,North America,2017,$526M,"8VC, Liberty Strategic Capital, Eden Global Partners",2022,5,1,0.526,Medium Funding,1.901140684
bolttech,$1B,01-07-2021,Fintech,,Singapore,Asia,2018,$210M,"Mundi Ventures, Doqling Capital Partners, Activant Capital",2021,3,1,0.21,Low Funding,4.761904762
Boom Supersonic,$1B,16-12-2020,Other,Englewood,United States,North America,2014,$241M,"WRVI Capital, Caffeinated Capital, Y Combinator",2020,6,1,0.241,Low Funding,4.149377593
Bringg,$1B,16-06-2021,"Supply chain, logistics, & delivery",Tel Aviv,Israel,Asia,2013,$185M,"Salesforce Ventures, next47, Pereg Ventures",2021,8,1,0.185,Low Funding,5.405405405
C2FO,$1B,07-08-2019,Fintech,Leawood,United States,North America,2008,$538M,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management",2019,11,1,0.538,Medium Funding,1.858736059
Cadence,$1B,14-12-2021,Health,New York,United States,North America,2020,$141M,"Thrive Capital, General Catalyst, Coatue Management",2021,1,1,0.141,Low Funding,7.092198582
CAIS,$1B,11-01-2022,Fintech,New York,United States,North America,2009,$406M,"Franklin Templeton, Motive Partners, Apollo Global Management",2022,13,1,0.406,Low Funding,2.463054187
Cameo,$1B,30-03-2021,Internet software & services,Chicago,United States,North America,2016,$165M,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures",2021,5,1,0.165,Low Funding,6.060606061
Capsule,$1B,28-04-2021,Health,New York,United States,North America,2016,$570M,"Thrive Capital, Durable Capital Partners, G Squared",2021,5,1,0.57,Medium Funding,1.754385965
CargoX,$1B,21-10-2021,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,2015,$390M,"Valor Capital Group, Lightrock, Softbank Group",2021,6,1,0.39,Low Funding,2.564102564
Carro,$1B,14-06-2021,E-commerce & direct-to-consumer,,Singapore,Asia,2015,$595M,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures",2021,6,1,0.595,Medium Funding,1.680672269
Carson Group,$1B,14-07-2021,Fintech,Lincoln,United States,North America,2012,Unknown,Bain Capital,2021,9,1,,Unknown,0
CHEQ,$1B,22-02-2022,Cybersecurity,New York,United States,North America,2014,$182M,"Battery Ventures, Tiger Global Management, Hanaco Ventures",2022,8,1,0.182,Low Funding,5.494505495
Chronosphere,$1B,07-10-2021,Data management & analytics,New York,United States,North America,2019,$254M,"Greylock Partners, Lux Capital, General Atlantic",2021,2,1,0.254,Low Funding,3.937007874
Cider,$1B,02-09-2021,E-commerce & direct-to-consumer,,Hong Kong,Asia,2020,$140M,"Andreessen Horowitz, DST Global, IDG Capital",2021,1,1,0.14,Low Funding,7.142857143
Clara,$1B,06-12-2021,Fintech,Mexico City,Mexico,North America,2020,$109M,"DST Global, General Catalyst, Monashees+",2021,1,1,0.109,Low Funding,9.174311927
Clearcover,$1B,13-04-2021,Fintech,Chicago,United States,North America,2016,$305M,"American Family Ventures, Cox Enterprises, OMERS Ventures",2021,5,1,0.305,Low Funding,3.278688525
CommerceIQ,$1B,21-03-2022,Artificial Intelligence,Palo Alto,United States,North America,2012,$196M,"Trinity Ventures, Madrona Venture Group, Shasta Ventures",2022,10,1,0.196,Low Funding,5.102040816
Contrast Security,$1B,09-11-2021,Cybersecurity,Los Altos,United States,North America,2014,$269M,"Acero Capital, General Catalyst, M12",2021,7,1,0.269,Low Funding,3.717472119
Darwinbox,$1B,25-01-2022,Internet software & services,Hyderabad,India,Asia,2015,$107M,"Lightspeed India Partners, Sequoia Capital India, Endiya Partners",2022,7,1,0.107,Low Funding,9.345794393
Dental Monitoring,$1B,21-10-2021,Health,Paris,France,Europe,2014,$232M,"Vitruvian Partners, Merieux Equity Partners, Straumann",2021,7,1,0.232,Low Funding,4.310344828
DianRong,$1B,02-08-2017,E-commerce & direct-to-consumer,Shanghai,China,Asia,2012,$549M,"Standard Chartered, FinSight Ventures, Affirma Capital",2017,5,1,0.549,Medium Funding,1.821493625
Drata,$1B,08-11-2021,Cybersecurity,San Diego,United States,North America,2020,$128M,"Cowboy Ventures, Leaders Fund, GGV Capital",2021,1,1,0.128,Low Funding,7.8125
DriveNets,$1B,27-01-2021,Internet software & services,Ra'anana,Israel,Asia,2015,$325M,"Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners",2021,6,1,0.325,Low Funding,3.076923077
Dune Analytics,$1B,02-02-2022,Data management & analytics,Oslo,Norway,Europe,2018,$79M,"Multicoin Capital, Coatue Management, Dragonfly Capital Partners",2022,4,1,0.079,Low Funding,12.65822785
Dxy.cn,$1B,10-04-2018,Health,Hangzhou,China,Asia,2000,$682M,"Tencent Holdings, DCM Ventures",2018,18,1,0.682,Medium Funding,1.46627566
EBANX,$1B,16-10-2019,Fintech,Curitiba,Brazil,South America,2012,$460M,"FTV Capital, Endeavor",2019,7,1,0.46,Low Funding,2.173913043
EcoFlow,$1B,10-06-2021,Hardware,Shenzhen,China,Asia,2017,$105M,"Delian Capital, China International Capital Corporation, Sequoia Capital China",2021,4,1,0.105,Low Funding,9.523809524
Electric,$1B,29-03-2022,Cybersecurity,New York,United States,North America,2016,$209M,"Primary Venture Partners, Bessemer Venture Partners, Harmonic Growth Partners",2022,6,1,0.209,Low Funding,4.784688995
Emerging Markets Property Group,$1B,28-04-2020,Other,Dubai,United Arab Emirates,Asia,2015,$279M,"OLX Group, KCK Group, EXOR Seeds",2020,5,1,0.279,Low Funding,3.584229391
Esusu,$1B,27-01-2022,Fintech,New York,United States,North America,2015,$145M,"Next Play Ventures, Zeal Capital Partners, SoftBank Group",2022,7,1,0.145,Low Funding,6.896551724
Evidation,$1B,22-03-2021,Health,San Mateo,United States,North America,2012,$259M,"B Capital Group,, GE Ventures, McKesson Ventures",2021,9,1,0.259,Low Funding,3.861003861
Expel,$1B,18-11-2021,Cybersecurity,Herndon,United States,North America,2016,$258M,"Paladin Capital Group, Greycroft, Scale Venture Partners",2021,5,1,0.258,Low Funding,3.875968992
Fabric,$1B,26-10-2021,"Supply chain, logistics, & delivery",New York,United States,North America,2015,$294M,"Innovation Endeavors, Aleph, Temasek",2021,6,1,0.294,Low Funding,3.401360544
Feedzai,$1B,24-03-2021,Artificial intelligence,San Mateo,United States,North America,2009,$277M,"Global Founders Capital, Shea Ventures, Greycroft",2021,12,1,0.277,Low Funding,3.610108303
Fever Labs,$1B,26-01-2022,Internet software & services,New York,United States,North America,2012,$299M,"Accel, 14W, GS Growth",2022,10,1,0.299,Low Funding,3.344481605
Fiture,$1B,14-04-2021,Health,Chengdu,China,Asia,2019,$391M,"Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital",2021,2,1,0.391,Low Funding,2.557544757
FLASH,$1B,16-03-2022,Fintech,Austin,United States,North America,2011,$314M,"L Catterton, Trellis Partners, Vista Equity Partners",2022,11,1,0.314,Low Funding,3.184713376
Flash Express,$1B,01-02-2021,"Supply chain, logistics, & delivery",Bangkok,Thailand,Asia,2017,$350M,"SCB 10X, Krungsri Finnovate, eWTP Capital",2021,4,1,0.35,Low Funding,2.857142857
FlashEx,$1B,27-08-2018,"Supply chain, logistics, & delivery",Beijing,China,Asia,2014,$359M,"Prometheus Capital, Matrix Partners China, JD Capital Management",2018,4,1,0.359,Low Funding,2.78551532
Fractal Analytics,$1B,05-01-2022,Data management & analytics,Mumbai,India,Asia,2000,$685M,"TPG Capital, Apax Partners, TA Associates",2022,22,1,0.685,Medium Funding,1.459854015
Freshbooks,$1B,10-08-2021,Fintech,Toronto,Canada,North America,2004,$156M,"Accomplice, Oak Investment Partners, Georgian Partners",2021,17,1,0.156,Low Funding,6.41025641
FXiaoKe,$1B,02-07-2015,Mobile & telecommunications,Beijing,China,Asia,2011,$283M,"IDG Capital, Northern Light Venture Capital, DCM Ventures",2015,4,1,0.283,Low Funding,3.533568905
Gauntlet Networks,$1B,07-03-2022,Fintech,New York,United States,North America,2018,$45M,"Polychain Capital, Paradigm, Ribbit Capital",2022,4,1,0.045,Low Funding,22.22222222
Geek+,$1B,21-11-2018,Hardware,Beijing,China,Asia,2015,$439M,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus",2018,3,1,0.439,Low Funding,2.277904328
Gelato,$1B,16-08-2021,E-commerce & direct-to-consumer,Oslo,Norway,Europe,2007,$269M,"Greylock Partners, Google Ventures, BlackRock",2021,14,1,0.269,Low Funding,3.717472119
Glia,$1B,21-03-2022,Fintech,New York,United States,North America,2012,$152M,"Wildcat Capital Management, Insight Partners, Tola Capital",2022,10,1,0.152,Low Funding,6.578947368
GO1,$1B,19-07-2021,Internet software & services,Brisbane,Australia,Oceania,2015,$284M,"Y Combinator, M12, SEEK",2021,6,1,0.284,Low Funding,3.521126761
Groq,$1B,14-04-2021,Artificial intelligence,Mountain View,United States,North America,2016,$362M,"TDK Ventures, Social Capital, D1 Capital Partners",2021,5,1,0.362,Low Funding,2.762430939
Hailo,$1B,12-10-2021,Artificial intelligence,Tel Aviv,Israel,Asia,2017,$221M,"Glory Ventures, Maniv Mobility",2021,4,1,0.221,Low Funding,4.524886878
Haomao.AI,$1B,22-12-2021,Artificial Intelligence,Beijing,China,Asia,2019,$157M,"Qualcomm Ventures, Nine Intelligence Capital, Hillhouse Capital Management",2021,2,1,0.157,Low Funding,6.369426752
Hasura,$1B,22-02-2022,Internet software & services,Bengaluru,India,Asia,2017,$137M,"Nexus Venture Partners, Vertex Ventures, STRIVE",2022,5,1,0.137,Low Funding,7.299270073
HAYDON,$1B,24-09-2021,Consumer & retail,Shanghai,China,Asia,2020,$100M,"Tencent Holdings, Hillhouse Capital Management",2021,1,1,0.1,Low Funding,10
Heyday,$1B,16-11-2021,E-commerce & direct-to-consumer,Chicago,United States,North America,2017,$800M,"Khosla Ventures,General Catalyst, Victory Park Capital",2021,4,1,0.8,Medium Funding,1.25
HMD Global,$1B,21-05-2018,Mobile & telecommunications,Espoo,Finland,Europe,2016,$330M,Ginko Ventures,2018,2,1,0.33,Low Funding,3.03030303
Hotmart,$1B,17-03-2020,E-commerce & direct-to-consumer,Amsterdam,Netherlands,Europe,2011,$127M,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic",2020,9,1,0.127,Low Funding,7.874015748
Huike Group,$1B,24-05-2018,Edtech,Beijing,China,Asia,2010,$302M,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.",2018,8,1,0.302,Low Funding,3.311258278
Human Interest,$1B,04-08-2021,Fintech,San Francisco,United States,North America,2015,$337M,"Wing Venture Capital, Slow Ventures, Uncork Capital",2021,6,1,0.337,Low Funding,2.96735905
Ibotta,$1B,06-08-2019,Fintech,Denver,United States,North America,2011,$93M,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital",2019,8,1,0.093,Low Funding,10.75268817
iCarbonX,$1B,12-04-2016,Artificial intelligence,Shenzhen,China,Asia,2015,$200M,"Tencent, Vcanbio",2016,1,1,0.2,Low Funding,5
iFood,$1B,13-11-2018,"Supply chain, logistics, & delivery",Osasco,Brazil,South America,2011,$592M,"Movile, Just Eat, Naspers",2018,7,1,0.592,Medium Funding,1.689189189
InFarm,$1B,16-12-2021,Other,Berlin,Germany,Europe,2013,$600M,"Atomico, Hanaco Venture Capital, TriplePoint Capital",2021,8,1,0.6,Medium Funding,1.666666667
Infobip,$1B,30-07-2020,Mobile & telecommunications,Vodnjan,Croatia,Europe,2006,$200M,One Equity Partners,2020,14,1,0.2,Low Funding,5
Injective Protocol,$1B,20-04-2021,Fintech,New York,United States,North America,2018,$17M,"Pantera Capital, Cadenza Ventures, BlockTower Capital",2021,3,1,0.017,Low Funding,58.82352941
Intellifusion,$1B,22-03-2019,Artificial intelligence,Shenzhen,China,Asia,2014,$173M,"BOC International, TopoScend Capital, Hongxiu VC",2019,5,1,0.173,Low Funding,5.780346821
Interos,$1B,22-07-2021,Fintech,Arlington,United States,North America,2005,$135M,"Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock",2021,16,1,0.135,Low Funding,7.407407407
Iodine Software,$1B,01-12-2021,Data management & analytics,Austin,United States,North America,2010,Unknown,"Advent International, Bain Capital Ventures, Silversmith Capital Partners",2021,11,1,,Unknown,0
JoyTunes,$1B,21-06-2021,Edtech,Tel Aviv,Israel,Asia,2011,$92M,"Genesis Partners, Aleph, Insight Partners",2021,10,1,0.092,Low Funding,10.86956522
Kendra Scott,$1B,21-12-2016,Consumer & retail,Austin,United States,North America,2002,Unknown,"Berkshire Partners, Norwest Venture Partners",2016,14,1,,Unknown,0
Kitopi,$1B,01-07-2021,"Supply chain, logistics, & delivery",Dubai,United Arab Emirates,Asia,2018,$504M,"CE-Ventures, BECO Capital, Nordstar",2021,3,1,0.504,Medium Funding,1.984126984
KnowBox,$1B,30-05-2019,Edtech,Beijing,China,Asia,2014,$306M,"TAL Education Group, Legend Star, Alibaba Group",2019,5,1,0.306,Low Funding,3.267973856
Kopi Kenangan,$1B,27-12-2021,Consumer & retail,Jakarta,Indonesia,Asia,2017,$333M,"Horizons Ventures, Sequoia Capital India, Alpha JWC Ventures",2021,4,1,0.333,Low Funding,3.003003003
Lamabang,$1B,06-03-2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2011,$130M,"5Y Capital, Matrix Partners China, K2VC",2015,4,1,0.13,Low Funding,7.692307692
